Name  ,Metric,Value
Richard Hamilton ,ORB,0.7
Ray Allen ,ORB,0.8
LaMarcus Aldridge ,ORB,2.9
Josh Howard ,ORB,1.1
Maurice Williams ,ORB,0.6
Shaquille O'neal ,ORB,2.5
Rashard Lewis ,ORB,1.2
Chauncey Billups ,ORB,0.4
Allen Iverson ,ORB,0.5
Nate Robinson ,ORB,1.3
Dwyane Wade ,DRB,3.9
LeBron James ,DRB,6.3
Kobe Bryant ,DRB,4.1
Dirk Nowitzki ,DRB,7.3
Danny Granger ,DRB,4.4
Kevin Durant ,DRB,5.5
Kevin Martin ,DRB,3.0
Al Jefferson ,DRB,7.5
Chris Paul ,DRB,4.7
Carmelo Anthony ,DRB,5.2
Chris Bosh ,DRB,7.2
Brandon Roy ,DRB,3.4
Antawn Jamison ,DRB,6.5
Tony Parker ,DRB,2.7
Amare Stoudemire ,DRB,5.9
Joe Johnson ,DRB,3.6
Devin Harris ,DRB,2.9
Michael Redd ,DRB,2.5
David West ,DRB,6.4
Zachary Randolph ,DRB,6.9
Caron Butler ,DRB,4.4
Vince Carter ,DRB,4.2
Stephen Jackson ,DRB,3.9
Ben Gordon ,DRB,2.8
Dwight Howard ,DRB,9.6
Paul Pierce ,DRB,5.0
Al Harrington ,DRB,4.9
Jamal Crawford ,DRB,2.6
Yao Ming ,DRB,7.2
Richard Jefferson ,DRB,3.9
Jason Terry ,DRB,1.9
Deron Williams ,DRB,2.5
Tim Duncan ,DRB,8.0
Monta Ellis ,DRB,3.8
Rudy Gay ,DRB,4.2
Pau Gasol ,DRB,6.4
Andre Iguodala ,DRB,4.6
Corey Maggette ,DRB,4.6
O.J. Mayo ,DRB,3.1
John Salmons ,DRB,3.5
Richard Hamilton ,DRB,2.4
Ray Allen ,DRB,2.7
LaMarcus Aldridge ,DRB,4.6
Josh Howard ,DRB,3.9
Maurice Williams ,DRB,2.9
Shaquille O'neal ,DRB,5.9
Rashard Lewis ,DRB,4.6
Chauncey Billups ,DRB,2.6
Allen Iverson ,DRB,2.5
Nate Robinson ,DRB,2.6
Dwyane Wade ,TRB,5.0
LeBron James ,TRB,7.6
Kobe Bryant ,TRB,5.2
Dirk Nowitzki ,TRB,8.4
Danny Granger ,TRB,5.1
Kevin Durant ,TRB,6.5
Kevin Martin ,TRB,3.6
Al Jefferson ,TRB,11.0
Chris Paul ,TRB,5.5
Carmelo Anthony ,TRB,6.8
Chris Bosh ,TRB,10.0
Brandon Roy ,TRB,4.7
Antawn Jamison ,TRB,8.9
Tony Parker ,TRB,3.1
Amare Stoudemire ,TRB,8.1
Joe Johnson ,TRB,4.4
Devin Harris ,TRB,3.3
Michael Redd ,TRB,3.2
David West ,TRB,8.5
Zachary Randolph ,TRB,10.1
Caron Butler ,TRB,6.2
Vince Carter ,TRB,5.1
Stephen Jackson ,TRB,5.1
Ben Gordon ,TRB,3.5
Dwight Howard ,TRB,13.8
Paul Pierce ,TRB,5.6
Al Harrington ,TRB,6.2
Jamal Crawford ,TRB,3.0
Yao Ming ,TRB,9.9
Richard Jefferson ,TRB,4.6
Jason Terry ,TRB,2.4
Deron Williams ,TRB,2.9
Tim Duncan ,TRB,10.7
Monta Ellis ,TRB,4.3
Rudy Gay ,TRB,5.5
Pau Gasol ,TRB,9.6
Andre Iguodala ,TRB,5.7
Corey Maggette ,TRB,5.5
O.J. Mayo ,TRB,3.8
John Salmons ,TRB,4.2
Richard Hamilton ,TRB,3.1
Ray Allen ,TRB,3.5
LaMarcus Aldridge ,TRB,7.5
Josh Howard ,TRB,5.1
Maurice Williams ,TRB,3.4
Shaquille O'neal ,TRB,8.4
Rashard Lewis ,TRB,5.7
Chauncey Billups ,TRB,3.0
Allen Iverson ,TRB,3.0
Nate Robinson ,TRB,3.9
Dwyane Wade ,AST,7.5
LeBron James ,AST,7.2
Kobe Bryant ,AST,4.9
Dirk Nowitzki ,AST,2.4
Danny Granger ,AST,2.7
Kevin Durant ,AST,2.8
Kevin Martin ,AST,2.7
Al Jefferson ,AST,1.6
Chris Paul ,AST,11.0
Carmelo Anthony ,AST,3.4
Chris Bosh ,AST,2.5
Brandon Roy ,AST,5.1
Antawn Jamison ,AST,1.9
Tony Parker ,AST,6.9
Amare Stoudemire ,AST,2.0
Joe Johnson ,AST,5.8
Devin Harris ,AST,6.9
Michael Redd ,AST,2.7
David West ,AST,2.3
Zachary Randolph ,AST,2.1
Caron Butler ,AST,4.3
Vince Carter ,AST,4.7
Stephen Jackson ,AST,6.5
Ben Gordon ,AST,3.4
Dwight Howard ,AST,1.4
Paul Pierce ,AST,3.6
Al Harrington ,AST,1.4
Jamal Crawford ,AST,4.4
Yao Ming ,AST,1.8
Richard Jefferson ,AST,2.4
Jason Terry ,AST,3.4
Deron Williams ,AST,10.7
Tim Duncan ,AST,3.5
Monta Ellis ,AST,3.7
Rudy Gay ,AST,1.7
Pau Gasol ,AST,3.5
Andre Iguodala ,AST,5.3
Corey Maggette ,AST,1.8
O.J. Mayo ,AST,3.2
John Salmons ,AST,3.2
Richard Hamilton ,AST,4.4
Ray Allen ,AST,2.8
LaMarcus Aldridge ,AST,1.9
Josh Howard ,AST,1.6
Maurice Williams ,AST,4.1
Shaquille O'neal ,AST,1.7
Rashard Lewis ,AST,2.6
Chauncey Billups ,AST,6.4
Allen Iverson ,AST,5.0
Nate Robinson ,AST,4.1
Dwyane Wade ,STL,2.2
LeBron James ,STL,1.7
Kobe Bryant ,STL,1.5
Dirk Nowitzki ,STL,0.8
Danny Granger ,STL,1.0
Kevin Durant ,STL,1.3
Kevin Martin ,STL,1.2
Al Jefferson ,STL,0.8
Chris Paul ,STL,2.8
Carmelo Anthony ,STL,1.1
Chris Bosh ,STL,0.9
Brandon Roy ,STL,1.1
Antawn Jamison ,STL,1.2
Tony Parker ,STL,0.9
Amare Stoudemire ,STL,0.9
Joe Johnson ,STL,1.1
Devin Harris ,STL,1.7
Michael Redd ,STL,1.1
David West ,STL,0.6
Zachary Randolph ,STL,0.9
Caron Butler ,STL,1.6
Vince Carter ,STL,1.0
Stephen Jackson ,STL,1.5
Ben Gordon ,STL,0.9
Dwight Howard ,STL,1.0
Paul Pierce ,STL,1.0
Al Harrington ,STL,1.2
